事故ID,事故时间,城市,所在区域,道路名称,事故类型,天气情况,道路类型,照明条件,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级,是否高峰,是否周末,月份,星期,来源
2631,2023-02-07 07:47:08,北京市,朝阳区,南中大道,侧面碰撞,晴,城市次干道,白天,0,0,0.4,32.0,10.8,0.2,轻微,1,0,2,2,simulation
2632,2025-10-15 08:33:22,北京市,朝阳区,东环高速公路,刮擦,晴,城市次干道,白天,0,0,20.7,66.0,11.7,1.8,轻微,1,0,10,3,simulation
2633,2023-07-10 08:34:09,北京市,顺义区,北新环路,刮擦,阴,匝道,白天,0,0,26.3,46.0,16.2,2.4,轻微,1,0,7,1,simulation
2634,2024-03-20 07:54:07,北京市,西城区,大新快速路,侧面碰撞,多云,支路,白天,3,0,14.0,43.0,17.6,5.4,一般,1,0,3,3,simulation
2635,2024-12-09 05:06:02,北京市,西城区,南北环路,追尾,晴,城市主干道,夜间有照明,0,0,-7.8,39.0,13.7,1.9,轻微,0,0,12,1,simulation
2636,2023-07-01 09:15:15,北京市,通州区,北环高速公路,多车连环,雷阵雨,城市主干道,白天,0,0,21.8,40.0,4.2,1.3,轻微,1,1,7,6,simulation
2637,2025-02-23 22:02:48,北京市,海淀区,北南大道,刮擦,阴,高速公路,夜间有照明,2,0,-8.4,66.0,15.9,0.2,一般,0,1,2,7,simulation
2638,2023-09-04 18:24:46,北京市,石景山区,中新路,刮擦,阴,支路,黄昏,0,0,11.6,35.0,8.4,2.0,轻微,1,0,9,1,simulation
2639,2024-06-18 19:43:52,北京市,海淀区,西东快速路,行人事故,晴,高速公路,黄昏,0,0,32.3,42.0,14.3,1.3,轻微,1,0,6,2,simulation
2640,2023-06-24 19:59:11,北京市,朝阳区,大北环路,侧面碰撞,晴,支路,黄昏,3,0,19.6,48.0,11.5,1.0,一般,1,1,6,6,simulation
2641,2025-02-06 08:53:45,北京市,丰台区,中环高速公路,行人事故,雪,支路,白天,1,0,-1.1,89.0,2.7,3.1,一般,1,0,2,4,simulation
2642,2024-12-30 07:04:03,北京市,朝阳区,新环街,刮擦,多云,支路,白天,0,0,-1.4,56.0,18.4,2.8,轻微,1,0,12,1,simulation
2643,2024-12-29 10:56:12,北京市,顺义区,南南街,追尾,阴,支路,白天,1,0,-4.8,38.0,19.2,0.2,一般,0,1,12,7,simulation
2644,2025-06-26 07:54:12,北京市,丰台区,东南快速路,侧面碰撞,多云,高速公路,白天,1,0,27.0,63.0,14.3,3.8,轻微,1,0,6,4,simulation
2645,2025-02-13 10:10:30,北京市,顺义区,环北快速路,行人事故,阴,支路,白天,1,0,5.3,40.0,19.7,2.3,一般,0,0,2,4,simulation
2646,2023-01-25 08:53:00,北京市,通州区,大大环路,侧面碰撞,雪,支路,白天,1,0,7.8,80.0,1.8,0.5,一般,1,0,1,3,simulation
2647,2023-06-27 18:15:13,北京市,昌平区,新环路,单车事故,多云,支路,黄昏,0,0,24.6,42.0,15.3,8.6,轻微,1,0,6,2,simulation
2648,2024-01-03 11:33:22,北京市,顺义区,新西环路,追尾,多云,支路,白天,2,0,0.3,46.0,15.3,3.0,一般,0,0,1,3,simulation
2649,2025-06-06 07:11:18,北京市,昌平区,东东高速公路,行人事故,晴,城市主干道,白天,0,0,25.9,67.0,17.7,2.9,轻微,1,0,6,5,simulation
2650,2023-06-22 07:02:40,北京市,海淀区,东南街,追尾,多云,高速公路,白天,0,0,21.8,70.0,10.9,0.7,轻微,1,0,6,4,simulation
2651,2024-03-03 07:12:58,北京市,石景山区,北东街,侧面碰撞,晴,城市主干道,白天,1,0,15.0,49.0,15.6,1.0,一般,1,1,3,7,simulation
2652,2024-11-21 04:02:29,北京市,顺义区,新东环路,追尾,晴,匝道,夜间有照明,0,0,24.6,46.0,19.5,2.3,轻微,0,0,11,4,simulation
2653,2023-03-11 09:22:09,北京市,昌平区,新南环路,追尾,多云,城市次干道,白天,1,0,17.9,36.0,9.4,1.9,轻微,1,1,3,6,simulation
2654,2025-04-26 17:16:10,北京市,昌平区,大西大道,翻车,晴,城市次干道,白天,2,0,21.6,45.0,19.0,4.9,一般,1,1,4,6,simulation
2655,2023-01-26 16:48:13,北京市,石景山区,大环快速路,单车事故,晴,高速公路,白天,0,0,0.6,45.0,19.8,0.3,轻微,0,0,1,4,simulation
2656,2023-01-30 09:13:04,北京市,顺义区,北大快速路,侧面碰撞,阴,高速公路,白天,1,0,-2.1,65.0,15.2,0.4,轻微,1,0,1,1,simulation
2657,2023-10-22 17:58:33,北京市,顺义区,南新快速路,多车连环,晴,高速公路,白天,0,0,23.5,58.0,14.9,4.7,轻微,1,1,10,7,simulation
2658,2024-09-01 23:13:19,北京市,通州区,大北环路,侧面碰撞,多云,支路,夜间无照明,2,0,13.7,49.0,10.2,1.5,一般,0,1,9,7,simulation
2659,2024-12-03 08:29:42,北京市,顺义区,新中高速公路,刮擦,雪,城市次干道,白天,1,0,-1.1,74.0,1.2,2.5,一般,1,0,12,2,simulation
2660,2025-08-22 22:32:57,北京市,通州区,南西高速公路,单车事故,多云,匝道,夜间有照明,1,0,31.8,57.0,14.7,4.4,一般,0,0,8,5,simulation
2661,2025-08-03 19:54:07,北京市,西城区,新大路,侧面碰撞,晴,城市次干道,黄昏,0,0,31.9,42.0,16.4,0.6,轻微,1,1,8,7,simulation
2662,2023-02-24 17:56:44,北京市,昌平区,中北高速公路,多车连环,多云,支路,白天,4,1,4.7,64.0,10.3,0.1,严重,1,0,2,5,simulation
2663,2024-07-07 18:46:51,北京市,西城区,大环大道,追尾,多云,城市次干道,黄昏,2,0,29.1,41.0,10.1,0.5,一般,1,1,7,7,simulation
2664,2025-01-09 08:40:13,北京市,丰台区,中东路,侧面碰撞,阴,城市次干道,白天,1,0,9.3,55.0,19.4,4.0,轻微,1,0,1,4,simulation
2665,2024-03-29 07:55:01,北京市,海淀区,中北环路,追尾,小雨,城市次干道,白天,0,0,19.3,62.0,6.7,3.5,轻微,1,0,3,5,simulation
2666,2025-10-02 19:26:27,北京市,丰台区,南北环路,侧面碰撞,小雨,支路,黄昏,0,0,17.8,38.0,7.0,0.6,轻微,1,0,10,4,simulation
2667,2023-09-28 17:26:19,北京市,丰台区,环南高速公路,行人事故,阴,支路,白天,0,0,17.3,64.0,16.9,3.9,轻微,1,0,9,4,simulation
2668,2023-07-30 08:45:10,北京市,昌平区,环新大道,刮擦,阴,高速公路,白天,0,0,29.3,56.0,18.2,7.4,轻微,1,1,7,7,simulation
2669,2024-01-16 18:08:15,北京市,大兴区,大新高速公路,追尾,多云,高速公路,黄昏,3,0,5.8,69.0,18.0,4.6,一般,1,0,1,2,simulation
2670,2024-01-09 19:00:25,北京市,昌平区,东东大道,翻车,多云,支路,黄昏,0,0,-3.3,45.0,12.3,5.7,轻微,1,0,1,2,simulation
2671,2024-11-07 09:42:57,北京市,海淀区,环南快速路,追尾,小雨,高速公路,白天,0,0,8.8,54.0,4.8,2.3,轻微,1,0,11,4,simulation
2672,2023-11-19 17:06:07,北京市,通州区,环东高速公路,追尾,晴,匝道,白天,0,0,13.9,34.0,15.8,4.2,轻微,1,1,11,7,simulation
2673,2025-03-17 18:49:21,北京市,朝阳区,环西大道,侧面碰撞,阴,城市主干道,黄昏,0,0,14.8,68.0,12.0,4.6,轻微,1,0,3,1,simulation
2674,2023-04-29 17:03:08,北京市,西城区,环中街,刮擦,阴,城市主干道,白天,4,0,16.5,32.0,15.6,3.4,严重,1,1,4,6,simulation
2675,2024-07-07 08:17:38,北京市,大兴区,东中路,侧面碰撞,晴,匝道,白天,1,0,22.6,31.0,15.7,8.6,一般,1,1,7,7,simulation
2676,2023-11-26 19:45:38,北京市,顺义区,中大高速公路,刮擦,晴,支路,黄昏,1,0,14.6,43.0,15.6,11.8,轻微,1,1,11,7,simulation
2677,2025-04-10 06:32:58,北京市,通州区,南北高速公路,追尾,多云,匝道,白天,1,0,25.4,44.0,17.3,1.3,一般,0,0,4,4,simulation
2678,2024-12-01 07:20:11,北京市,海淀区,新中环路,行人事故,多云,支路,白天,0,0,-8.0,31.0,15.7,5.0,轻微,1,1,12,7,simulation
2679,2024-03-17 18:20:53,北京市,海淀区,东大路,追尾,晴,城市次干道,黄昏,0,0,23.7,30.0,11.0,0.7,轻微,1,1,3,7,simulation
2680,2023-04-17 05:17:07,北京市,石景山区,东大高速公路,追尾,阴,匝道,夜间无照明,1,0,19.1,65.0,13.3,1.8,一般,0,0,4,1,simulation
2681,2023-01-19 07:39:07,北京市,昌平区,新南环路,多车连环,阴,城市次干道,白天,0,0,2.5,34.0,14.9,6.5,轻微,1,0,1,4,simulation
2682,2024-01-02 09:19:41,北京市,海淀区,新南快速路,单车事故,阴,支路,白天,0,0,-4.1,51.0,11.6,0.0,轻微,1,0,1,2,simulation
2683,2025-01-28 23:54:20,北京市,西城区,大东路,多车连环,雾,高速公路,夜间无照明,0,0,5.7,83.0,1.8,0.2,轻微,0,0,1,2,simulation
2684,2024-07-07 14:56:09,北京市,大兴区,东大快速路,追尾,晴,城市主干道,白天,1,0,28.3,64.0,14.5,1.0,轻微,0,1,7,7,simulation
2685,2023-05-04 19:45:26,北京市,丰台区,东南路,侧面碰撞,晴,匝道,黄昏,0,0,11.8,46.0,8.6,0.3,轻微,1,0,5,4,simulation
2686,2024-01-05 17:47:26,北京市,东城区,西大环路,追尾,阴,高速公路,白天,0,0,1.5,56.0,8.5,0.8,轻微,1,0,1,5,simulation
2687,2025-07-27 09:32:05,北京市,通州区,环西大道,侧面碰撞,多云,城市主干道,白天,1,0,29.6,63.0,16.9,1.6,轻微,1,1,7,7,simulation
2688,2023-01-16 17:27:01,北京市,西城区,新东快速路,刮擦,多云,支路,白天,1,0,3.1,45.0,11.0,4.3,轻微,1,0,1,1,simulation
2689,2023-10-27 08:09:04,北京市,石景山区,南南高速公路,行人事故,晴,城市主干道,白天,0,0,17.9,48.0,16.2,3.9,轻微,1,0,10,5,simulation
2690,2025-10-13 08:20:17,北京市,通州区,环大街,追尾,晴,城市次干道,白天,1,0,23.4,38.0,9.4,1.1,一般,1,0,10,1,simulation
2691,2024-05-22 17:41:04,北京市,昌平区,大南环路,追尾,阴,城市次干道,白天,1,0,17.3,54.0,14.8,5.9,轻微,1,0,5,3,simulation
2692,2026-01-01 20:49:13,北京市,通州区,东东街,追尾,阴,匝道,夜间有照明,0,0,-1.7,36.0,9.1,5.4,轻微,0,0,1,4,simulation
2693,2023-05-11 17:06:33,北京市,朝阳区,东大大道,侧面碰撞,多云,高速公路,白天,1,0,21.6,43.0,15.8,2.2,严重,1,0,5,4,simulation
2694,2024-11-17 07:27:12,北京市,大兴区,南中环路,行人事故,晴,城市主干道,白天,1,0,20.8,54.0,14.3,4.2,严重,1,1,11,7,simulation
2695,2025-11-07 09:35:13,北京市,丰台区,东南快速路,刮擦,晴,城市主干道,白天,1,0,17.2,65.0,8.5,2.6,一般,1,0,11,5,simulation
2696,2025-01-05 09:39:19,北京市,东城区,南西路,侧面碰撞,多云,城市次干道,白天,0,0,-2.7,57.0,18.3,0.5,轻微,1,1,1,7,simulation
2697,2023-05-23 04:06:49,北京市,石景山区,西环大道,侧面碰撞,小雨,城市次干道,夜间有照明,0,0,14.5,67.0,6.2,2.0,轻微,0,0,5,2,simulation
2698,2023-07-11 08:47:27,北京市,朝阳区,西中高速公路,行人事故,多云,城市次干道,白天,0,0,36.0,40.0,14.4,2.1,轻微,1,0,7,2,simulation
2699,2023-10-11 23:02:11,北京市,丰台区,中东高速公路,行人事故,阴,支路,夜间有照明,3,0,15.5,58.0,11.1,1.7,一般,0,0,10,3,simulation
2700,2024-03-01 16:11:37,北京市,石景山区,环南大道,刮擦,多云,匝道,白天,3,0,10.5,58.0,19.9,1.3,一般,0,0,3,5,simulation
2701,2025-04-02 19:53:50,北京市,海淀区,大中快速路,行人事故,晴,高速公路,黄昏,0,0,16.5,45.0,12.0,2.8,轻微,1,0,4,3,simulation
2702,2024-06-06 17:37:39,北京市,通州区,北西街,行人事故,多云,城市次干道,白天,1,0,26.7,34.0,17.2,0.1,轻微,1,0,6,4,simulation
2703,2023-07-29 18:41:18,北京市,西城区,环大大道,追尾,阴,城市次干道,黄昏,0,0,30.9,40.0,19.4,1.2,轻微,1,1,7,6,simulation
2704,2024-07-18 17:24:30,北京市,东城区,东中高速公路,侧面碰撞,多云,支路,白天,3,0,33.0,37.0,9.0,3.8,一般,1,0,7,4,simulation
2705,2023-05-29 17:11:32,北京市,西城区,北大路,刮擦,晴,城市次干道,白天,0,0,12.8,32.0,11.1,2.8,轻微,1,0,5,1,simulation
2706,2025-06-01 16:20:24,北京市,西城区,东环环路,单车事故,晴,匝道,白天,0,0,30.1,56.0,18.4,2.4,轻微,0,1,6,7,simulation
2707,2025-01-01 17:18:38,北京市,顺义区,新中环路,追尾,晴,高速公路,白天,0,0,7.1,55.0,15.9,5.6,轻微,1,0,1,3,simulation
2708,2024-06-11 19:08:03,北京市,丰台区,南南大道,刮擦,多云,高速公路,黄昏,2,0,31.7,57.0,12.3,3.1,一般,1,0,6,2,simulation
2709,2023-10-31 08:55:14,北京市,丰台区,东大快速路,追尾,晴,匝道,白天,0,0,21.7,48.0,17.8,4.8,轻微,1,0,10,2,simulation
2710,2024-09-04 22:58:54,北京市,大兴区,环北高速公路,追尾,多云,匝道,夜间有照明,0,0,19.0,40.0,12.1,1.3,轻微,0,0,9,3,simulation
2711,2023-03-24 09:34:14,北京市,朝阳区,新北路,追尾,多云,匝道,白天,1,0,20.0,55.0,15.0,4.4,轻微,1,0,3,5,simulation
2712,2026-01-04 09:07:01,北京市,东城区,大环大道,刮擦,多云,支路,白天,1,0,-3.5,41.0,13.4,7.1,一般,1,1,1,7,simulation
2713,2024-06-06 12:19:40,北京市,西城区,西大街,刮擦,大雨,城市主干道,白天,0,0,26.2,55.0,2.2,9.1,轻微,0,0,6,4,simulation
2714,2023-01-07 08:43:15,北京市,海淀区,环环路,追尾,晴,城市次干道,白天,3,0,-2.9,67.0,13.0,1.7,一般,1,1,1,6,simulation
2715,2024-10-28 17:55:10,北京市,石景山区,大东大道,侧面碰撞,多云,城市主干道,白天,1,0,24.7,64.0,8.6,0.8,轻微,1,0,10,1,simulation
2716,2025-10-19 09:31:39,北京市,丰台区,大新路,追尾,阴,城市主干道,白天,0,0,18.0,43.0,8.0,0.6,轻微,1,1,10,7,simulation
2717,2024-06-13 19:50:15,北京市,朝阳区,新环街,追尾,晴,支路,黄昏,1,0,20.3,45.0,14.0,0.5,轻微,1,0,6,4,simulation
2718,2025-11-23 17:37:26,北京市,顺义区,西北快速路,刮擦,小雨,城市次干道,白天,1,0,16.2,43.0,7.9,1.9,轻微,1,1,11,7,simulation
2719,2023-04-19 19:02:53,北京市,顺义区,北环路,刮擦,晴,高速公路,黄昏,2,0,24.0,65.0,19.1,0.5,一般,1,0,4,3,simulation
2720,2023-04-29 17:38:12,北京市,通州区,中西环路,翻车,多云,匝道,白天,2,0,17.5,53.0,12.2,6.4,一般,1,1,4,6,simulation
2721,2024-11-22 09:43:49,北京市,石景山区,北新大道,行人事故,阴,高速公路,白天,0,0,10.9,51.0,16.6,1.2,轻微,1,0,11,5,simulation
2722,2023-09-11 19:03:27,北京市,西城区,环东路,追尾,晴,支路,黄昏,2,0,13.7,51.0,11.4,0.8,一般,1,0,9,1,simulation
2723,2024-02-06 17:33:52,北京市,石景山区,北大街,侧面碰撞,晴,匝道,白天,1,0,-4.0,69.0,11.5,6.0,一般,1,0,2,2,simulation
2724,2023-12-23 17:12:08,北京市,大兴区,北东大道,刮擦,雾,高速公路,白天,0,0,6.5,84.0,1.3,4.9,轻微,1,1,12,6,simulation
2725,2023-03-02 04:23:00,北京市,西城区,环新大道,追尾,多云,城市次干道,夜间有照明,1,0,20.3,63.0,12.3,0.5,轻微,0,0,3,4,simulation
2726,2023-03-30 18:51:57,北京市,东城区,西西环路,行人事故,晴,城市次干道,黄昏,3,0,21.0,54.0,16.4,5.3,一般,1,0,3,4,simulation
2727,2025-01-16 08:26:39,北京市,朝阳区,大环快速路,刮擦,多云,高速公路,白天,1,0,3.2,64.0,16.5,2.2,轻微,1,0,1,4,simulation
2728,2025-07-04 17:54:30,北京市,东城区,西大街,刮擦,大雨,城市次干道,白天,2,0,22.9,53.0,1.4,0.1,一般,1,0,7,5,simulation
2729,2023-05-25 01:22:24,北京市,丰台区,西环路,追尾,晴,支路,夜间无照明,0,0,16.0,40.0,12.0,1.5,轻微,0,0,5,4,simulation
2730,2025-10-01 09:43:51,北京市,朝阳区,大南快速路,行人事故,晴,城市主干道,白天,0,0,17.9,48.0,10.5,1.2,轻微,1,0,10,3,simulation
2731,2023-04-15 23:23:16,北京市,东城区,环中街,刮擦,晴,城市主干道,夜间无照明,1,0,12.3,54.0,12.0,2.6,一般,0,1,4,6,simulation
2732,2025-03-11 08:14:53,北京市,昌平区,西南大道,多车连环,多云,城市主干道,白天,0,0,13.6,43.0,19.1,3.0,轻微,1,0,3,2,simulation
2733,2023-02-19 09:25:54,北京市,海淀区,西中环路,刮擦,晴,城市次干道,白天,1,0,-1.0,37.0,12.7,3.2,轻微,1,1,2,7,simulation
2734,2025-05-20 08:41:01,北京市,通州区,环西高速公路,多车连环,多云,城市次干道,白天,1,0,17.4,32.0,13.7,1.9,轻微,1,0,5,2,simulation
2735,2024-12-14 18:12:26,北京市,丰台区,东中快速路,追尾,晴,城市次干道,黄昏,0,0,-4.8,56.0,19.1,9.8,轻微,1,1,12,6,simulation
2736,2025-06-26 09:55:29,北京市,朝阳区,新环高速公路,追尾,晴,高速公路,白天,0,0,30.7,32.0,18.7,0.7,轻微,1,0,6,4,simulation
2737,2025-08-10 08:12:09,北京市,丰台区,中西大道,刮擦,晴,城市次干道,白天,1,0,32.6,53.0,14.5,1.5,一般,1,1,8,7,simulation
2738,2025-06-12 09:57:23,北京市,通州区,中西大道,刮擦,晴,城市主干道,白天,0,0,29.5,70.0,17.6,0.7,轻微,1,0,6,4,simulation
2739,2024-12-09 17:57:30,北京市,东城区,中环快速路,追尾,多云,城市次干道,白天,0,0,-5.8,54.0,12.5,2.5,轻微,1,0,12,1,simulation
2740,2024-02-20 09:23:43,北京市,海淀区,新东路,追尾,阴,城市次干道,白天,0,0,-1.2,35.0,12.9,1.7,轻微,1,0,2,2,simulation
2741,2024-11-21 09:01:19,北京市,朝阳区,东东快速路,刮擦,多云,城市次干道,白天,3,0,12.9,60.0,14.4,2.4,一般,1,0,11,4,simulation
2742,2023-02-03 08:56:21,北京市,顺义区,西环环路,单车事故,阴,高速公路,白天,4,0,10.9,44.0,14.6,1.4,严重,1,0,2,5,simulation
2743,2024-07-27 19:19:30,北京市,丰台区,环环大道,追尾,大雨,城市次干道,黄昏,0,0,24.1,50.0,2.0,0.7,轻微,1,1,7,6,simulation
2744,2024-12-02 07:45:45,北京市,海淀区,大北快速路,侧面碰撞,阴,城市主干道,白天,2,0,2.7,45.0,12.4,1.0,一般,1,0,12,1,simulation
2745,2025-05-09 20:26:08,北京市,大兴区,新环大道,多车连环,晴,匝道,夜间有照明,0,0,13.3,49.0,18.6,0.1,轻微,0,0,5,5,simulation
2746,2023-11-15 09:35:50,北京市,东城区,大中快速路,侧面碰撞,晴,城市次干道,白天,1,0,18.3,35.0,15.3,1.1,一般,1,0,11,3,simulation
2747,2025-04-30 07:25:13,北京市,西城区,新北街,单车事故,多云,匝道,白天,2,0,14.4,55.0,9.2,0.7,一般,1,0,4,3,simulation
2748,2025-08-17 09:01:26,北京市,石景山区,北北路,行人事故,阴,匝道,白天,0,0,25.1,45.0,12.8,7.8,轻微,1,1,8,7,simulation
2749,2025-05-25 08:05:13,北京市,顺义区,西大高速公路,行人事故,小雨,高速公路,白天,1,0,25.4,42.0,6.6,1.3,一般,1,1,5,7,simulation
2750,2024-05-20 19:16:04,北京市,大兴区,南大环路,侧面碰撞,多云,城市次干道,黄昏,1,0,17.9,36.0,9.2,1.5,一般,1,0,5,1,simulation
2751,2025-07-25 17:21:24,北京市,通州区,南南快速路,追尾,晴,匝道,白天,0,0,28.2,55.0,12.9,0.9,轻微,1,0,7,5,simulation
2752,2025-12-06 08:58:15,北京市,大兴区,大西高速公路,翻车,多云,高速公路,白天,0,0,-2.7,43.0,17.1,0.0,轻微,1,1,12,6,simulation
2753,2024-01-06 17:59:06,北京市,西城区,大新街,侧面碰撞,多云,支路,白天,0,0,3.7,39.0,15.4,1.0,轻微,1,1,1,6,simulation
2754,2024-04-04 08:36:46,北京市,石景山区,北南大道,刮擦,晴,匝道,白天,0,0,12.0,64.0,15.1,0.1,轻微,1,0,4,4,simulation
2755,2024-02-01 20:43:57,北京市,东城区,新南快速路,刮擦,多云,城市主干道,夜间有照明,1,0,0.1,34.0,8.6,0.7,一般,0,0,2,4,simulation
2756,2024-04-11 03:33:17,北京市,昌平区,东环环路,追尾,多云,支路,夜间有照明,0,0,18.9,34.0,16.8,0.1,轻微,0,0,4,4,simulation
2757,2024-12-21 18:00:18,北京市,昌平区,北中路,单车事故,雪,城市次干道,黄昏,2,0,-1.3,76.0,1.0,0.1,一般,1,1,12,6,simulation
2758,2025-06-04 17:23:07,北京市,顺义区,东环大道,追尾,多云,匝道,白天,0,0,28.0,63.0,14.3,1.1,轻微,1,0,6,3,simulation
2759,2023-01-06 10:20:23,北京市,丰台区,中新路,侧面碰撞,晴,城市次干道,白天,1,0,-1.2,44.0,15.5,0.1,一般,0,0,1,5,simulation
2760,2023-05-20 18:26:56,北京市,昌平区,东南快速路,追尾,晴,匝道,黄昏,2,0,18.2,68.0,14.5,3.3,一般,1,1,5,6,simulation
2761,2025-11-18 19:21:12,北京市,石景山区,北东高速公路,侧面碰撞,多云,城市主干道,黄昏,0,0,19.7,48.0,16.7,0.6,轻微,1,0,11,2,simulation
2762,2025-10-08 10:58:21,北京市,昌平区,北环高速公路,追尾,晴,城市次干道,白天,1,0,11.4,68.0,15.5,0.1,严重,0,0,10,3,simulation
2763,2023-01-17 04:34:04,北京市,丰台区,大东快速路,翻车,多云,支路,夜间无照明,3,0,4.9,49.0,10.4,2.8,严重,0,0,1,2,simulation
2764,2025-11-17 22:14:14,北京市,海淀区,北北街,刮擦,阴,城市主干道,夜间无照明,3,1,19.1,31.0,11.3,1.1,严重,0,0,11,1,simulation
2765,2023-05-05 07:08:38,北京市,通州区,环东快速路,刮擦,多云,城市次干道,白天,0,0,15.1,51.0,10.8,0.3,轻微,1,0,5,5,simulation
2766,2024-08-03 17:34:32,北京市,朝阳区,大环高速公路,追尾,晴,支路,白天,0,0,30.8,60.0,12.0,2.3,轻微,1,1,8,6,simulation
2767,2025-10-23 18:16:48,北京市,西城区,环西街,单车事故,晴,支路,黄昏,0,0,15.8,47.0,19.3,1.7,轻微,1,0,10,4,simulation
2768,2025-11-22 18:57:37,北京市,朝阳区,大环街,刮擦,多云,支路,黄昏,1,0,8.9,63.0,19.4,0.4,轻微,1,1,11,6,simulation
2769,2025-01-22 21:59:50,北京市,东城区,中东大道,行人事故,雪,匝道,夜间有照明,0,0,7.9,83.0,2.4,2.5,轻微,0,0,1,3,simulation
2770,2024-11-17 18:27:03,北京市,大兴区,北大快速路,单车事故,阴,支路,黄昏,3,0,21.4,34.0,16.5,0.4,一般,1,1,11,7,simulation
2771,2024-02-24 17:31:06,北京市,石景山区,西东大道,刮擦,晴,城市次干道,白天,1,0,0.5,54.0,15.1,0.7,轻微,1,1,2,6,simulation
2772,2025-07-27 15:47:45,北京市,昌平区,中北街,刮擦,雷阵雨,匝道,白天,0,0,24.3,37.0,5.6,0.8,轻微,0,1,7,7,simulation
2773,2025-12-18 09:29:02,北京市,通州区,东中高速公路,刮擦,晴,支路,白天,2,0,-10.6,58.0,16.6,1.5,一般,1,0,12,4,simulation
2774,2023-12-15 07:35:43,北京市,西城区,西南大道,追尾,多云,高速公路,白天,1,0,-2.8,39.0,16.7,7.9,轻微,1,0,12,5,simulation
2775,2023-12-03 08:08:28,北京市,大兴区,北东高速公路,侧面碰撞,阴,城市主干道,白天,1,0,-1.4,63.0,14.4,1.8,一般,1,1,12,7,simulation
2776,2024-05-12 17:53:09,北京市,丰台区,大南环路,翻车,阴,城市次干道,白天,0,0,19.4,67.0,16.3,0.7,轻微,1,1,5,7,simulation
2777,2024-07-06 18:46:51,北京市,朝阳区,大北环路,侧面碰撞,晴,匝道,黄昏,0,0,27.4,59.0,15.4,4.1,轻微,1,1,7,6,simulation
2778,2024-02-07 07:40:11,北京市,西城区,环大街,追尾,晴,匝道,白天,1,0,4.3,48.0,13.7,2.9,一般,1,0,2,3,simulation
2779,2025-01-24 18:45:49,北京市,石景山区,西南街,行人事故,多云,支路,黄昏,1,0,0.0,43.0,12.2,0.2,严重,1,0,1,5,simulation
2780,2023-09-06 08:03:32,北京市,顺义区,东西街,多车连环,小雨,高速公路,白天,2,1,27.9,68.0,6.9,3.3,严重,1,0,9,3,simulation
2781,2025-07-03 05:56:23,北京市,大兴区,西西环路,侧面碰撞,晴,城市主干道,夜间有照明,4,0,25.0,58.0,10.6,3.9,严重,0,0,7,4,simulation
2782,2025-06-14 09:55:26,北京市,朝阳区,中南大道,刮擦,晴,匝道,白天,1,0,27.2,67.0,14.9,2.7,一般,1,1,6,6,simulation
2783,2025-06-11 07:11:22,北京市,西城区,东南高速公路,行人事故,多云,高速公路,白天,1,0,29.8,42.0,17.3,2.0,一般,1,0,6,3,simulation
2784,2025-05-23 18:21:00,北京市,顺义区,新东高速公路,侧面碰撞,多云,城市次干道,黄昏,3,0,12.4,41.0,12.6,10.3,一般,1,0,5,5,simulation
2785,2025-11-26 09:57:59,北京市,顺义区,环西环路,追尾,多云,高速公路,白天,1,0,19.9,43.0,19.3,5.1,严重,1,0,11,3,simulation
2786,2025-09-21 15:11:38,北京市,西城区,新新高速公路,单车事故,多云,城市次干道,白天,2,0,22.0,44.0,9.7,3.7,一般,0,1,9,7,simulation
2787,2025-08-11 19:28:10,北京市,西城区,新西高速公路,追尾,多云,城市主干道,黄昏,0,0,25.9,63.0,10.2,2.1,轻微,1,0,8,1,simulation
2788,2023-07-27 07:44:25,北京市,海淀区,南中路,侧面碰撞,多云,支路,白天,0,0,22.8,54.0,12.1,3.5,轻微,1,0,7,4,simulation
2789,2023-04-23 21:56:31,北京市,东城区,环大环路,刮擦,阴,匝道,夜间有照明,0,0,15.4,40.0,14.3,10.3,轻微,0,1,4,7,simulation
2790,2023-06-08 07:15:12,北京市,昌平区,环南快速路,追尾,阴,城市次干道,白天,0,0,25.4,63.0,19.2,6.0,轻微,1,0,6,4,simulation
2791,2023-06-13 23:08:29,北京市,朝阳区,西东快速路,侧面碰撞,雷阵雨,支路,夜间有照明,1,0,27.6,61.0,6.0,16.6,轻微,0,0,6,2,simulation
2792,2024-09-19 17:10:30,北京市,东城区,东西路,追尾,晴,支路,白天,0,0,14.9,47.0,15.2,1.8,轻微,1,0,9,4,simulation
2793,2025-08-03 08:59:58,北京市,通州区,新北大道,翻车,多云,城市主干道,白天,1,0,33.7,51.0,15.2,4.0,严重,1,1,8,7,simulation
2794,2023-07-21 08:29:26,北京市,朝阳区,中新环路,追尾,多云,城市主干道,白天,0,0,24.0,40.0,11.3,6.9,轻微,1,0,7,5,simulation
2795,2023-07-29 06:06:58,北京市,朝阳区,北中快速路,刮擦,晴,高速公路,白天,3,1,22.5,64.0,11.4,3.2,严重,0,1,7,6,simulation
2796,2025-03-14 08:22:25,北京市,丰台区,环北街,刮擦,晴,支路,白天,1,0,19.0,31.0,12.6,1.8,轻微,1,0,3,5,simulation
2797,2025-06-29 18:06:52,北京市,大兴区,中北高速公路,刮擦,大雨,城市主干道,黄昏,3,0,25.1,60.0,2.7,1.0,严重,1,1,6,7,simulation
