事故ID,事故时间,所在区域,道路类型,事故类型,天气情况,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级
5292,2022-02-02 06:21:10.621270120,丰台区,城市次干道,单车事故,阴天,4,0,-5.1,25,10.8,2.8,轻微
5293,2023-06-10 23:26:16.291837176,东城区,高速公路,刮擦,雨天,4,0,-7.7,63,17.5,18.6,轻微
5294,2024-07-26 00:11:03.600568056,朝阳区,城市次干道,追尾,晴天,1,1,14.8,20,8.9,13.6,一般
5295,2025-03-07 03:21:44.104618456,西城区,高速公路,刮擦,晴天,0,1,2.9,35,16.5,10.3,一般
5296,2024-11-30 00:58:09.163124312,丰台区,高速公路,刮擦,雨天,1,0,37.6,82,5.3,1.3,一般
5297,2023-01-12 20:37:11.917399736,海淀区,城市次干道,单车事故,晴天,0,0,26.7,58,5.8,13.9,轻微
5298,2021-08-29 11:33:24.014609456,海淀区,城市次干道,追尾,雪天,2,0,35.3,34,12.3,19.9,轻微
5299,2021-08-09 00:56:51.395347528,丰台区,高速公路,侧碰,雪天,1,1,24.2,73,13.0,12.0,轻微
5300,2024-04-28 16:03:08.353043304,石景山区,支路,侧碰,晴天,0,1,33.7,23,13.1,0.9,轻微
5301,2023-06-24 20:21:04.140622056,丰台区,城市次干道,单车事故,雾天,4,1,4.5,82,6.5,18.4,轻微
5302,2022-07-01 17:55:54.149622960,西城区,支路,多车连环,雪天,0,1,38.9,73,4.0,14.2,轻微
5303,2024-12-20 02:49:02.628470840,东城区,高速公路,单车事故,阴天,4,1,37.0,31,14.3,18.7,严重
5304,2024-03-27 17:28:32.385446536,朝阳区,支路,追尾,晴天,4,1,7.0,56,9.3,10.6,轻微
5305,2021-06-03 14:28:05.382746270,朝阳区,城市主干道,多车连环,晴天,3,1,-5.2,83,8.7,0.7,轻微
5306,2024-04-07 07:32:27.848992888,海淀区,城市次干道,多车连环,阴天,2,1,25.0,34,1.9,6.4,严重
5307,2025-04-06 10:30:53.879595960,海淀区,支路,单车事故,雪天,3,1,25.6,23,18.2,13.2,轻微
5308,2023-09-21 08:51:48.965104504,海淀区,支路,单车事故,晴天,4,0,24.8,33,18.2,6.6,一般
5309,2025-08-28 10:40:50.099217912,朝阳区,高速公路,追尾,雾天,1,1,33.7,64,2.6,3.4,一般
5310,2022-11-16 00:01:16.021810176,石景山区,支路,追尾,雾天,2,0,11.8,66,13.7,17.3,轻微
5311,2023-08-10 00:36:07.110919080,朝阳区,城市主干道,追尾,晴天,4,0,28.8,79,2.8,15.0,一般
5312,2021-12-07 20:47:51.341342128,朝阳区,城市次干道,追尾,雪天,3,1,24.9,61,6.1,10.3,轻微
5313,2023-11-16 05:16:39.514159416,朝阳区,高速公路,单车事故,晴天,4,0,22.9,79,16.8,5.3,轻微
5314,2024-04-04 22:35:43.348542856,朝阳区,城市主干道,追尾,雪天,3,1,3.9,22,14.8,1.6,轻微
5315,2025-11-19 20:32:26.768884888,东城区,城市次干道,刮擦,雨天,2,0,21.2,77,12.7,18.9,严重
5316,2022-10-12 16:29:55.553763368,西城区,支路,刮擦,雾天,0,0,6.5,80,16.5,16.4,轻微
5317,2024-01-10 08:10:11.755383528,东城区,城市主干道,追尾,雨天,0,0,-5.2,73,11.5,16.0,轻微
5318,2023-09-25 04:51:10.081216120,朝阳区,支路,多车连环,雨天,2,0,12.7,39,2.7,9.1,一般
5319,2021-08-10 11:59:28.011009096,丰台区,城市次干道,追尾,雨天,1,0,10.1,76,7.3,14.1,轻微
5320,2023-07-28 05:58:16.723880376,海淀区,城市主干道,多车连环,晴天,3,0,30.7,73,17.9,9.0,一般
5321,2024-06-03 19:22:44.590667064,石景山区,高速公路,侧碰,雪天,4,1,16.7,76,0.1,2.7,一般
5322,2023-03-04 18:45:43.888596856,石景山区,城市主干道,追尾,雨天,3,1,-4.1,33,14.5,5.6,轻微
5323,2022-05-06 08:22:34.869694960,丰台区,支路,多车连环,晴天,2,0,-5.4,29,4.0,18.6,严重
5324,2025-07-23 07:21:13.861594152,朝阳区,城市主干道,刮擦,晴天,1,1,12.3,65,16.1,12.8,轻微
5325,2023-03-03 07:43:07.272935288,西城区,城市次干道,侧碰,雨天,2,1,24.7,59,8.6,19.5,轻微
5326,2023-04-27 06:13:49.937201720,石景山区,城市次干道,刮擦,雾天,2,1,7.4,66,2.8,18.4,轻微
5327,2025-09-27 04:41:31.143322328,朝阳区,城市次干道,单车事故,雾天,2,0,19.4,23,7.8,1.7,一般
5328,2022-11-04 07:40:23.096517648,海淀区,城市主干道,单车事故,阴天,0,0,24.7,49,1.4,1.8,一般
5329,2023-02-10 03:35:16.345842576,东城区,城市次干道,多车连环,阴天,0,0,21.2,70,15.4,5.2,轻微
5330,2023-01-22 17:09:49.073115304,东城区,高速公路,侧碰,雨天,4,1,26.3,94,15.1,2.8,轻微
5331,2023-10-19 07:04:14.239631960,朝阳区,城市次干道,多车连环,阴天,2,1,24.8,41,18.9,13.3,轻微
5332,2022-12-01 07:58:40.486256616,朝阳区,城市次干道,刮擦,雾天,4,0,-2.3,56,18.6,5.0,轻微
5333,2023-09-14 10:24:25.040712072,东城区,高速公路,刮擦,雪天,4,0,36.3,59,9.6,2.3,轻微
5334,2024-07-25 11:02:34.869694968,西城区,城市主干道,侧碰,雨天,2,0,17.2,86,17.0,0.9,轻微
5335,2024-02-09 06:33:42.376445640,东城区,城市主干道,多车连环,雾天,1,1,36.8,20,3.2,17.6,一般
5336,2025-06-21 00:00:58.740082008,西城区,城市次干道,多车连环,晴天,1,1,5.1,39,10.7,2.4,轻微
5337,2023-12-17 01:34:18.020009992,朝阳区,支路,追尾,雨天,2,0,17.5,89,4.2,17.4,轻微
5338,2021-10-27 06:03:27.794987492,海淀区,城市次干道,侧碰,雨天,1,1,3.5,59,1.4,16.2,轻微
5339,2023-05-16 10:10:35.517759768,西城区,城市次干道,单车事故,阴天,2,1,12.4,62,6.3,17.5,轻微
5340,2023-10-28 18:51:12.241432136,东城区,支路,侧碰,阴天,1,1,17.3,28,2.0,7.1,轻微
5341,2022-01-16 06:58:19.964204416,石景山区,城市次干道,追尾,晴天,0,0,24.0,86,2.9,10.0,严重
5342,2022-12-08 23:57:22.718479840,海淀区,高速公路,侧碰,阴天,3,1,18.3,66,7.2,14.5,轻微
5343,2022-03-25 08:52:32.169424936,丰台区,支路,刮擦,雾天,3,1,1.9,64,17.9,4.5,轻微
5344,2022-09-20 05:42:17.587966792,朝阳区,城市次干道,刮擦,阴天,4,1,-2.8,65,16.7,18.4,轻微
5345,2025-07-28 14:23:11.593367336,海淀区,高速公路,追尾,阴天,1,1,6.9,74,12.1,6.8,轻微
5346,2022-04-27 00:58:26.444852480,海淀区,城市次干道,多车连环,雾天,0,0,10.5,42,4.2,12.0,轻微
5347,2021-10-03 03:50:23.636571652,朝阳区,支路,追尾,雨天,3,1,0.5,84,11.3,7.1,一般
5348,2021-03-16 22:29:57.713979392,丰台区,高速公路,侧碰,雨天,2,1,13.3,46,5.1,18.7,一般
5349,2024-12-23 18:25:34.167624760,石景山区,城市主干道,单车事故,阴天,0,0,8.0,45,8.6,6.6,轻微
5350,2023-02-10 12:20:55.499757968,东城区,支路,追尾,雪天,4,0,13.2,69,4.5,16.4,轻微
5351,2021-06-11 06:26:47.614969492,丰台区,城市主干道,侧碰,晴天,1,0,4.6,83,2.7,15.0,轻微
5352,2021-03-14 04:47:34.059613956,石景山区,高速公路,单车事故,雪天,4,1,16.0,42,16.2,10.1,一般
5353,2024-08-25 11:43:02.952503240,东城区,城市主干道,侧碰,雪天,0,0,1.7,52,16.0,5.2,轻微
5354,2022-10-07 13:50:47.398947888,朝阳区,城市主干道,单车事故,雨天,2,1,3.9,60,14.5,7.9,一般
5355,2024-06-20 18:45:35.247732760,海淀区,高速公路,追尾,晴天,1,1,11.3,79,12.9,4.4,轻微
5356,2024-03-09 07:03:05.112719272,西城区,高速公路,侧碰,雾天,4,1,21.7,32,16.3,3.0,轻微
5357,2024-03-10 13:42:52.151423144,西城区,高速公路,多车连环,雾天,2,1,30.4,50,16.8,5.4,轻微
5358,2025-10-10 21:13:29.415149496,东城区,城市主干道,单车事故,晴天,2,0,39.8,37,1.2,0.3,轻微
5359,2024-08-01 00:44:19.640172008,海淀区,城市主干道,单车事故,雪天,0,1,-1.1,86,14.5,10.6,轻微
5360,2023-02-04 11:47:39.460154008,石景山区,支路,追尾,雾天,2,0,-7.3,44,13.1,12.0,轻微
5361,2023-04-02 01:43:48.317039696,海淀区,高速公路,侧碰,雨天,2,0,38.2,38,19.5,12.0,轻微
5362,2023-03-22 11:39:52.853493344,朝阳区,支路,多车连环,雾天,3,1,-5.4,72,4.1,2.7,轻微
5363,2024-03-02 17:21:20.342242216,西城区,支路,刮擦,晴天,2,1,37.5,25,19.5,3.7,轻微
5364,2025-01-29 10:53:39.136121608,海淀区,城市次干道,多车连环,晴天,1,0,20.5,91,7.6,16.7,轻微
5365,2023-01-02 15:18:55.607768768,海淀区,城市主干道,多车连环,晴天,2,1,35.4,71,9.9,16.3,轻微
5366,2022-07-06 07:26:33.573565352,东城区,支路,追尾,晴天,3,1,33.5,85,8.5,13.8,轻微
5367,2021-06-21 16:07:53.501558150,朝阳区,支路,侧碰,雪天,3,1,7.5,52,4.2,2.4,轻微
5368,2024-10-30 22:11:48.965104504,朝阳区,支路,追尾,晴天,0,0,2.5,81,13.4,2.2,一般
5369,2022-12-19 09:38:28.605068504,丰台区,城市主干道,侧碰,晴天,1,1,14.7,44,17.0,18.9,轻微
5370,2022-07-22 00:09:37.191927184,东城区,城市主干道,侧碰,雨天,3,0,-8.5,71,13.7,3.2,轻微
5371,2021-07-08 19:53:33.735581552,东城区,支路,单车事故,阴天,3,1,-3.6,94,5.7,3.9,轻微
5372,2021-11-22 12:50:26.876895684,石景山区,城市主干道,单车事故,晴天,2,0,15.4,59,11.9,0.7,轻微
5373,2024-01-25 16:07:36.219829976,海淀区,高速公路,多车连环,晴天,1,1,2.9,51,12.5,11.1,轻微
5374,2023-03-06 10:11:10.081216112,海淀区,城市次干道,多车连环,雪天,2,0,-9.7,77,17.8,5.6,轻微
5375,2021-02-21 00:39:43.132521246,海淀区,城市次干道,单车事故,雾天,0,0,26.3,23,6.9,6.1,一般
5376,2025-12-07 04:40:56.579865976,丰台区,城市主干道,追尾,阴天,4,0,36.1,62,9.3,18.4,轻微
5377,2021-07-18 07:40:31.737381732,朝阳区,城市次干道,单车事故,晴天,4,0,26.6,33,6.8,17.0,轻微
5378,2021-08-05 04:57:30.279235920,丰台区,高速公路,侧碰,雾天,0,1,-1.1,39,9.7,19.7,一般
5379,2023-08-03 10:54:22.340442040,石景山区,支路,追尾,雾天,2,1,-5.3,90,3.1,10.9,轻微
5380,2021-11-07 13:38:41.566364632,海淀区,高速公路,多车连环,雨天,2,0,32.5,62,17.2,4.3,轻微
5381,2025-10-29 03:16:07.110919096,西城区,支路,单车事故,阴天,1,1,16.0,69,3.4,15.1,一般
5382,2024-09-06 21:35:14.185626552,石景山区,高速公路,刮擦,雨天,1,0,9.5,32,19.3,5.7,轻微
5383,2023-05-14 01:13:51.017309720,朝阳区,高速公路,多车连环,晴天,0,1,15.6,45,9.5,1.5,轻微
5384,2024-09-21 20:46:59.496157608,石景山区,高速公路,侧碰,雨天,0,0,37.6,47,5.3,14.1,轻微
5385,2021-11-07 00:30:12.835491544,朝阳区,城市主干道,刮擦,晴天,1,1,-9.3,89,15.1,14.0,轻微
5386,2021-05-09 18:43:42.916499644,东城区,高速公路,单车事故,雨天,0,0,-4.6,67,12.7,19.8,轻微
5387,2022-04-04 14:10:48.479055896,朝阳区,城市次干道,单车事故,雨天,4,0,10.8,31,13.1,14.1,一般
5388,2022-07-28 18:14:11.539361928,海淀区,城市主干道,追尾,晴天,2,0,33.5,53,4.7,8.8,轻微
5389,2025-11-09 15:14:10.459253912,丰台区,支路,侧碰,阴天,4,0,37.9,67,10.7,4.9,一般
5390,2021-11-12 03:09:20.990307024,丰台区,支路,侧碰,雪天,0,1,23.3,85,6.9,13.8,一般
5391,2023-03-30 08:01:24.662674264,海淀区,高速公路,侧碰,雪天,4,0,13.5,59,4.0,17.4,一般
5392,2022-06-06 09:03:02.952503248,东城区,高速公路,多车连环,雾天,1,0,-9.4,42,12.6,7.3,轻微
5393,2022-10-13 14:24:03.438551848,丰台区,城市次干道,刮擦,雪天,0,0,-3.1,85,9.6,9.1,轻微
5394,2025-09-01 06:40:11.215329528,丰台区,城市次干道,侧碰,阴天,3,0,38.3,36,16.4,12.5,轻微
5395,2023-06-27 18:26:17.371945192,石景山区,城市主干道,刮擦,阴天,3,0,-4.1,90,16.9,2.6,一般
5396,2023-07-15 11:20:26.336841672,朝阳区,支路,单车事故,晴天,4,0,11.9,80,17.8,3.4,轻微
5397,2024-05-07 10:18:48.047012696,西城区,支路,单车事故,雨天,2,0,10.0,22,1.4,4.7,轻微
5398,2024-08-29 07:42:24.068614856,海淀区,城市主干道,单车事故,晴天,2,0,-9.3,44,4.8,15.4,轻微
5399,2025-05-02 12:55:03.384546456,丰台区,城市次干道,刮擦,雨天,2,1,9.8,24,15.7,4.7,一般
5400,2024-06-02 12:42:57.551963192,西城区,高速公路,刮擦,晴天,4,1,27.1,76,18.6,9.4,一般
5401,2024-11-07 09:47:41.620370024,朝阳区,高速公路,追尾,雨天,1,1,-7.8,50,18.7,17.9,轻微
5402,2025-12-17 05:36:23.312539256,石景山区,高速公路,侧碰,雨天,1,0,24.2,56,18.7,5.1,轻微
5403,2022-12-21 22:58:02.682476240,丰台区,城市次干道,单车事故,雨天,0,0,-8.3,89,3.4,15.4,轻微
5404,2021-07-20 12:14:26.660874082,东城区,城市次干道,单车事故,雪天,2,0,27.9,54,18.1,14.2,轻微
5405,2023-11-01 19:13:22.934501448,西城区,城市主干道,多车连环,雨天,0,0,0.2,85,14.6,12.6,一般
5406,2023-06-01 16:02:07.866994696,丰台区,高速公路,单车事故,雾天,3,1,12.8,24,5.9,19.5,一般
5407,2025-04-15 17:55:02.304438440,东城区,支路,侧碰,雾天,2,0,25.7,51,8.7,1.1,一般
5408,2025-08-11 02:32:20.288236824,东城区,高速公路,单车事故,雾天,2,1,36.2,27,12.2,14.0,轻微
5409,2025-08-01 19:08:11.863394328,丰台区,支路,单车事故,雪天,0,0,-4.4,29,11.6,10.7,轻微
5410,2024-05-24 18:27:17.857993800,海淀区,高速公路,多车连环,雾天,3,0,11.3,52,2.1,1.7,轻微
5411,2022-08-21 02:55:57.389946992,丰台区,城市次干道,刮擦,阴天,3,0,25.4,58,2.1,12.6,一般
5412,2025-10-11 10:21:58.146022584,丰台区,高速公路,追尾,雪天,4,0,3.7,75,2.1,7.9,轻微
5413,2024-02-28 14:53:17.533961384,朝阳区,城市主干道,刮擦,雾天,2,0,5.4,20,17.2,0.7,一般
5414,2021-03-23 16:34:32.061414136,西城区,城市次干道,追尾,雪天,4,0,3.0,46,2.0,19.2,轻微
5415,2024-09-14 22:19:35.571765176,朝阳区,高速公路,单车事故,雨天,2,0,8.1,69,14.1,11.8,一般
5416,2025-09-17 12:31:43.564564440,丰台区,城市次干道,单车事故,雾天,3,1,-5.2,51,12.9,14.3,轻微
5417,2022-01-30 03:53:07.812989292,西城区,支路,单车事故,雨天,4,0,27.2,60,7.9,17.4,一般
5418,2021-02-24 07:30:35.517759770,石景山区,城市次干道,侧碰,雨天,3,0,15.1,76,1.2,3.7,一般
5419,2021-10-11 17:43:13.753583352,朝阳区,城市主干道,多车连环,雨天,4,0,1.1,27,14.8,14.0,轻微
5420,2025-09-25 00:07:36.219829976,西城区,城市主干道,刮擦,阴天,2,0,26.2,55,19.2,14.4,一般
5421,2021-11-02 06:36:43.834591452,东城区,支路,侧碰,雾天,0,0,3.0,24,19.9,10.2,轻微
5422,2024-01-31 16:40:52.259433944,丰台区,高速公路,追尾,雾天,3,0,32.8,23,16.2,8.4,轻微
5423,2024-10-27 15:20:56.579865976,海淀区,高速公路,多车连环,雨天,4,1,27.5,54,4.1,19.0,一般
5424,2021-05-26 13:43:43.996607656,西城区,支路,单车事故,雪天,1,0,33.2,41,4.3,8.6,一般
5425,2024-10-20 16:53:32.655473544,海淀区,高速公路,多车连环,阴天,1,1,21.0,80,3.3,8.8,轻微
5426,2023-05-25 13:11:54.365644552,朝阳区,城市次干道,单车事故,雾天,3,0,-5.3,92,14.9,12.7,轻微
5427,2023-11-23 08:06:53.015509544,东城区,城市次干道,追尾,雾天,3,1,15.1,63,8.5,19.7,轻微
5428,2023-05-24 19:40:36.057813768,海淀区,城市主干道,追尾,阴天,2,1,7.8,77,13.1,10.4,严重
5429,2021-04-16 14:24:46.642872282,丰台区,支路,刮擦,雾天,1,0,25.5,79,5.1,7.6,轻微
5430,2021-12-20 06:40:02.574465440,石景山区,高速公路,单车事故,雾天,4,0,31.6,88,9.3,18.0,轻微
5431,2023-11-14 05:05:34.167624760,海淀区,城市次干道,多车连环,晴天,3,1,10.9,28,1.2,15.0,轻微
5432,2023-02-21 02:24:50.963304328,石景山区,城市主干道,多车连环,雾天,4,0,-8.3,34,6.7,1.3,一般
5433,2023-11-15 02:59:42.052413240,东城区,高速公路,追尾,雾天,1,0,-1.9,68,3.6,14.8,轻微
5434,2023-01-26 21:54:49.343142312,海淀区,城市次干道,多车连环,雨天,1,0,11.5,34,12.2,2.5,一般
5435,2022-03-14 14:25:47.128920888,石景山区,高速公路,追尾,阴天,4,1,34.3,44,10.7,9.1,一般
5436,2024-10-04 06:39:10.729280920,海淀区,城市次干道,侧碰,阴天,2,1,20.5,20,2.3,9.5,轻微
5437,2022-08-17 20:05:05.004708464,西城区,支路,追尾,阴天,2,1,-6.9,38,15.4,3.3,一般
5438,2024-03-02 08:35:41.188326824,石景山区,城市主干道,刮擦,阴天,4,1,14.8,61,16.5,7.6,严重
5439,2022-04-30 20:57:47.560964088,西城区,城市次干道,侧碰,雨天,0,1,16.7,34,1.0,11.7,一般
5440,2021-11-01 04:19:46.372845280,丰台区,高速公路,侧碰,雪天,3,1,-4.7,33,19.3,10.3,轻微
5441,2023-08-11 11:38:43.726580648,西城区,城市次干道,单车事故,雨天,0,0,14.2,50,13.8,10.0,轻微
5442,2021-04-03 02:15:37.948002795,朝阳区,城市主干道,追尾,雨天,4,0,21.8,84,1.0,14.0,一般
5443,2024-12-24 20:42:31.629370936,东城区,城市次干道,多车连环,雨天,2,0,17.1,88,19.2,11.2,一般
5444,2021-08-09 18:28:09.703178312,东城区,高速公路,刮擦,雨天,3,1,18.3,35,11.1,19.7,一般
5445,2021-12-06 05:22:25.148722868,丰台区,城市主干道,刮擦,雪天,0,0,12.6,77,4.3,14.8,一般
5446,2023-11-20 01:16:00.630271016,海淀区,城市次干道,追尾,阴天,0,1,20.5,90,15.6,9.8,轻微
5447,2025-05-11 20:19:11.809388936,石景山区,城市主干道,刮擦,雾天,3,1,27.9,47,8.8,0.4,轻微
5448,2024-10-31 15:43:07.272935288,丰台区,城市主干道,多车连环,晴天,1,0,14.2,24,19.9,16.3,轻微
5449,2022-04-21 09:10:49.559163912,海淀区,高速公路,刮擦,阴天,3,0,-5.2,68,16.3,5.7,严重
5450,2022-08-05 05:50:04.194627456,海淀区,高速公路,多车连环,雾天,4,0,17.7,28,16.8,15.8,轻微
5451,2023-12-25 15:27:08.137021704,朝阳区,高速公路,刮擦,晴天,1,0,25.9,87,5.4,17.1,轻微
5452,2024-01-15 02:03:40.756283624,西城区,高速公路,追尾,雾天,0,1,-5.1,34,8.2,0.7,轻微
5453,2021-08-13 23:13:09.973205316,西城区,城市次干道,追尾,雪天,2,1,23.6,79,15.3,13.3,一般
5454,2024-02-04 03:54:34.221630152,石景山区,高速公路,刮擦,雾天,2,1,36.1,20,11.5,8.5,一般
5455,2022-08-14 17:37:02.196427640,丰台区,城市主干道,侧碰,雪天,3,0,5.9,79,2.4,13.6,一般
5456,2025-02-17 10:27:35.139721960,海淀区,城市次干道,侧碰,阴天,3,1,2.9,50,2.3,3.4,一般
5457,2025-03-23 04:50:26.876895688,石景山区,城市次干道,多车连环,雾天,0,0,12.7,72,15.6,11.3,一般
5458,2023-06-11 16:57:34.599667960,东城区,支路,刮擦,雪天,1,1,20.6,26,14.6,14.1,轻微
5459,2021-02-11 21:38:24.284636458,西城区,支路,多车连环,阴天,4,1,17.6,44,5.8,14.2,轻微
5460,2024-12-28 21:04:42.322440232,丰台区,城市主干道,追尾,阴天,3,0,32.6,38,6.0,7.7,一般
5461,2022-01-10 23:56:22.232431236,朝阳区,城市主干道,侧碰,阴天,4,0,17.2,73,10.5,8.0,一般
5462,2025-07-22 00:41:26.822890280,丰台区,高速公路,多车连环,雾天,0,0,-0.9,63,18.3,1.8,轻微
5463,2022-02-26 04:11:25.202728268,西城区,支路,单车事故,雨天,0,1,24.6,73,8.0,19.9,严重
5464,2025-10-15 23:52:37.569964984,西城区,高速公路,单车事故,晴天,3,0,24.8,77,9.2,2.6,轻微
5465,2022-11-16 13:09:44.752683264,石景山区,高速公路,多车连环,晴天,4,1,-4.0,39,8.9,6.3,轻微
5466,2021-12-11 08:01:33.303538348,石景山区,城市次干道,追尾,雾天,3,1,-3.0,27,15.8,14.2,轻微
5467,2024-03-16 05:30:29.037111704,西城区,高速公路,单车事故,阴天,2,0,21.5,27,16.1,18.2,轻微
5468,2022-06-11 07:19:21.530361032,西城区,支路,追尾,雾天,4,0,8.1,93,12.2,16.2,轻微
5469,2025-05-23 21:25:43.888596856,海淀区,城市次干道,多车连环,雾天,1,0,31.4,81,1.3,0.3,轻微
5470,2025-08-27 08:23:52.637471736,西城区,支路,侧碰,雪天,3,0,16.8,64,7.3,3.5,轻微
5471,2024-09-27 08:11:46.804888488,石景山区,城市主干道,侧碰,雨天,0,0,32.3,39,9.9,14.2,轻微
5472,2023-01-11 22:43:04.032611256,西城区,城市主干道,单车事故,晴天,1,0,5.3,23,2.4,2.1,轻微
5473,2023-06-30 16:31:30.603268328,丰台区,支路,单车事故,雾天,4,0,27.0,54,13.2,17.4,轻微
5474,2021-12-07 07:39:22.610469040,西城区,城市次干道,单车事故,雨天,1,1,9.4,29,7.8,8.1,轻微
5475,2025-10-29 16:24:35.841792184,丰台区,高速公路,刮擦,雾天,2,0,34.8,45,6.0,11.5,轻微
5476,2024-08-11 01:39:46.372845272,丰台区,城市次干道,多车连环,阴天,2,1,39.7,48,19.8,10.2,轻微
5477,2023-11-15 20:31:00.360244024,西城区,支路,侧碰,雨天,4,1,7.5,22,18.6,13.6,轻微
5478,2021-02-22 20:27:58.902098204,东城区,高速公路,侧碰,雨天,2,0,23.2,49,5.2,9.8,轻微
5479,2023-02-05 18:27:26.498857880,东城区,支路,刮擦,雨天,4,0,22.0,94,18.9,14.0,轻微
5480,2021-03-31 08:33:14.293637358,东城区,城市次干道,刮擦,阴天,2,0,13.7,75,13.1,13.1,一般
5481,2022-04-12 01:46:41.134321424,西城区,高速公路,追尾,雨天,3,0,36.4,78,6.8,9.1,一般
5482,2024-03-15 11:59:10.729280920,朝阳区,支路,多车连环,雾天,4,0,37.9,24,11.6,13.0,轻微
5483,2021-03-17 20:24:05.598767871,丰台区,城市次干道,侧碰,晴天,1,1,20.5,48,10.5,3.8,一般
5484,2021-08-23 02:14:28.821090104,海淀区,支路,追尾,阴天,0,1,32.3,34,8.9,2.8,严重
5485,2022-04-04 18:33:38.056013592,丰台区,高速公路,追尾,雾天,4,1,3.4,68,6.7,11.0,轻微
5486,2021-01-23 22:04:28.281036098,丰台区,城市次干道,追尾,雨天,2,1,4.4,61,16.3,1.5,轻微
5487,2023-01-30 17:54:10.459253920,西城区,城市主干道,多车连环,晴天,3,1,39.3,64,2.7,19.3,轻微
5488,2021-11-05 09:04:46.642872280,石景山区,高速公路,刮擦,雨天,0,0,32.5,48,6.8,0.8,轻微
5489,2023-03-17 04:37:55.121720168,西城区,城市主干道,多车连环,雪天,2,1,14.3,44,4.9,3.3,轻微
5490,2023-06-05 16:24:18.560064008,石景山区,支路,刮擦,晴天,3,1,17.5,48,18.3,13.9,轻微
5491,2023-11-29 04:17:19.478155816,丰台区,城市主干道,单车事故,雾天,3,1,18.5,30,2.0,5.4,一般
5492,2025-07-07 01:29:41.512359224,石景山区,支路,多车连环,晴天,2,0,39.9,73,9.3,4.2,一般
5493,2023-09-20 15:20:30.657273720,西城区,高速公路,侧碰,雪天,1,0,20.1,70,6.4,7.9,轻微
5494,2023-03-04 23:08:33.465554552,海淀区,支路,单车事故,雪天,4,1,21.3,34,0.5,19.5,一般
5495,2025-04-25 10:04:49.883196312,海淀区,城市主干道,追尾,雨天,2,0,20.1,28,14.5,11.9,轻微
5496,2024-01-17 15:23:14.833691368,石景山区,高速公路,单车事故,雾天,4,1,9.5,58,13.0,9.3,轻微
5497,2024-05-30 14:37:44.320640056,东城区,城市次干道,多车连环,雨天,2,1,0.8,28,17.8,8.1,轻微
5498,2021-02-24 11:53:25.094717466,海淀区,支路,刮擦,雨天,2,1,-2.4,46,18.3,13.3,轻微
5499,2022-05-03 05:54:32.061414136,朝阳区,支路,单车事故,雾天,0,0,1.3,41,11.1,15.4,轻微
5500,2021-06-08 03:58:44.806688664,东城区,城市主干道,单车事故,阴天,3,1,39.3,50,15.9,14.7,轻微
5501,2025-01-22 08:03:25.634771464,朝阳区,城市主干道,侧碰,晴天,1,1,-3.0,72,12.6,8.1,轻微
5502,2023-10-21 07:15:19.586166616,海淀区,城市主干道,追尾,晴天,0,0,-7.4,32,13.4,2.5,轻微
5503,2022-01-06 01:40:03.654573452,海淀区,支路,追尾,雪天,1,0,12.1,31,19.1,16.3,轻微
5504,2022-11-26 18:28:01.062314224,朝阳区,城市次干道,多车连环,晴天,4,1,-8.1,46,13.1,18.8,轻微
5505,2021-11-28 22:09:22.070415036,海淀区,支路,追尾,晴天,0,0,-6.6,77,16.9,2.7,轻微
5506,2024-06-16 14:00:34.977705768,丰台区,城市次干道,追尾,阴天,0,0,35.7,64,5.8,7.4,一般
5507,2021-12-28 20:32:52.691477144,石景山区,支路,追尾,雾天,2,1,4.8,66,15.2,0.0,轻微
5508,2022-02-15 18:30:19.316139608,石景山区,城市次干道,多车连环,晴天,3,0,28.7,84,13.4,12.1,一般
5509,2023-04-12 07:02:04.626670664,朝阳区,支路,追尾,晴天,2,1,2.5,45,15.1,7.9,一般
5510,2021-07-04 10:45:43.888596854,东城区,高速公路,多车连环,晴天,3,1,19.0,41,8.3,4.9,轻微
5511,2025-03-07 07:44:33.681576152,朝阳区,高速公路,追尾,阴天,2,1,34.1,78,11.5,19.6,轻微
5512,2022-07-18 21:41:34.383646360,丰台区,高速公路,追尾,雪天,0,1,34.7,37,17.0,13.7,一般
5513,2025-07-04 20:55:46.588866888,东城区,高速公路,追尾,晴天,4,0,23.7,26,7.0,18.9,一般
5514,2023-12-09 05:12:46.210829080,丰台区,支路,单车事故,雾天,4,0,23.4,43,0.4,8.6,轻微
5515,2021-10-25 23:23:40.756283624,朝阳区,支路,单车事故,晴天,2,0,6.5,91,12.0,0.8,一般
5516,2023-04-27 10:36:39.514159416,东城区,城市次干道,追尾,雾天,4,0,-4.3,70,7.2,12.5,轻微
5517,2025-04-10 15:15:54.149622952,丰台区,城市次干道,单车事故,雨天,2,1,15.2,27,19.2,1.2,轻微
5518,2024-01-06 07:48:01.062314232,丰台区,支路,单车事故,晴天,1,0,12.4,76,5.9,8.5,轻微
5519,2022-03-26 19:55:08.785086504,石景山区,高速公路,单车事故,晴天,4,1,-4.7,57,17.3,16.1,一般
5520,2025-06-29 18:16:38.434051400,朝阳区,高速公路,刮擦,雪天,1,0,18.3,90,0.6,6.6,轻微
5521,2022-06-24 19:28:30.225230520,丰台区,支路,刮擦,雪天,0,0,-2.5,88,9.9,5.1,一般
